Song_ID,Song_Name,Artist,Genre,Sub_Genre,Tempo_BPM,Energy_Score,Danceability_Score,Valence_Score,Acousticness_Score,Instrumentalness_Score,Popularity_Score,Loudness_dB,Speechiness_Score,Liveness_Score,Duration_MS,Release_Year,Language,Sentiment_Label,Mood,Era
S000029,Song_29,Wizkid,Jazz,Bebop,135,87,58,63,13,39,68,-44,43,91,395628,1995,French,Energetic,Powerful,90s
S000030,Song_30,Slipknot,R&B,Contemporary R&B,80,74,80,92,46,28,65,-8,94,98,214019,2012,Hindi,Happy,Joyful,2010s
S000031,Song_31,Stray Kids,Hip-Hop,Drill,159,71,62,17,42,7,44,-19,94,53,126631,1981,German,Angry,Aggressive,80s
S000032,Song_32,H.E.R.,Electronic,Trance,124,91,82,1,31,31,36,-21,32,8,299141,1997,Arabic,Angry,Aggressive,90s
S000033,Song_33,Black Sabbath,Jazz,Fusion,113,68,81,98,64,30,69,-36,23,12,309963,1956,Arabic,Happy,Joyful,50s-Early
S000034,Song_34,Luke Combs,R&B,Neo Soul,131,75,84,7,29,5,35,-47,75,86,214046,2015,English,Angry,Aggressive,2010s
S000035,Song_35,Queen,R&B,Funk,106,62,61,57,60,29,82,-39,57,57,121024,2001,French,Neutral,Peaceful,2000s
S000036,Song_36,Olivia Rodrigo,Classical,Baroque,81,15,19,96,91,96,27,-8,59,4,177235,1955,English,Relaxed,Calm,50s-Early
S000037,Song_37,Radiohead,Hip-Hop,Cloud Rap,121,74,79,12,61,20,49,-42,16,62,300706,2007,Korean,Angry,Aggressive,2000s
S000038,Song_38,Linkin Park,Classical,Minimalist,94,35,30,8,90,82,31,-8,0,57,315913,1950,Spanish,Sad,Melancholic,50s-Early
S000039,Song_39,Katy Perry,Jazz,Cool Jazz,108,71,64,0,49,49,35,-22,63,62,106964,1971,English,Angry,Aggressive,70s
S000040,Song_40,Bach,R&B,Alternative R&B,141,51,65,85,25,41,76,-32,77,91,265150,2011,Arabic,Neutral,Peaceful,2010s
S000041,Song_41,Martin Garrix,R&B,Contemporary R&B,143,51,55,47,35,30,58,-25,32,93,378790,1959,Korean,Neutral,Peaceful,50s-Early
S000042,Song_42,Marshmello,Country,Bluegrass,143,75,73,9,61,35,38,-29,0,68,106364,1953,Japanese,Angry,Aggressive,50s-Early
S000043,Song_43,Swedish House Mafia,Jazz,Avant-Garde Jazz,90,63,55,91,64,6,51,-34,83,23,280347,1999,English,Neutral,Peaceful,90s
S000044,Song_44,Stray Kids,Pop,Dance-pop,109,72,72,100,60,47,31,-58,64,32,172986,1993,French,Happy,Joyful,90s
S000045,Song_45,Mozart,Pop,Electropop,103,52,51,34,40,6,100,-35,7,92,204585,2023,Arabic,Neutral,Peaceful,2020s
S000046,Song_46,Slipknot,Afro,Highlife,108,80,46,74,13,49,48,-5,35,88,150692,1985,Italian,Happy,Joyful,80s
S000047,Song_47,Justice,Electronic,Techno,119,74,68,48,39,53,55,-43,95,23,309798,2011,Spanish,Neutral,Peaceful,2010s
S000048,Song_48,Nina Simone,Classical,Contemporary,76,21,17,98,92,84,49,-44,61,83,268031,1962,French,Relaxed,Calm,60s
S000049,Song_49,Travis Scott,Metal,Death Metal,178,98,55,18,11,45,95,-52,70,27,141934,2001,Korean,Angry,Aggressive,2000s
S000050,Song_50,Post Malone,Latin,Reggaeton,157,86,55,98,62,9,31,-36,51,84,327027,2002,English,Euphoric,Ecstatic,2000s
S000051,Song_51,H.E.R.,Jazz,Smooth Jazz,97,55,78,57,54,46,58,-47,94,4,128102,1967,Japanese,Neutral,Peaceful,60s
S000052,Song_52,Ariana Grande,Hip-Hop,Mumble Rap,150,48,49,16,67,48,26,-15,12,39,129081,1958,Arabic,Neutral,Peaceful,50s-Early
S000053,Song_53,Nas,Rock,Punk Rock,124,66,41,36,14,33,57,-42,7,64,328067,1966,Spanish,Neutral,Peaceful,60s
S000054,Song_54,Olivia Rodrigo,Country,Bluegrass,145,64,84,69,13,40,50,-42,60,53,116790,2023,Spanish,Neutral,Peaceful,2020s
S000055,Song_55,Ghost,Pop,Dance-pop,93,78,42,91,54,17,77,-41,91,71,246542,1988,Spanish,Euphoric,Ecstatic,80s
S000056,Song_56,Olivia Rodrigo,Classical,Baroque,40,12,17,55,97,84,52,-23,5,57,388539,1994,English,Relaxed,Calm,90s
S000057,Song_57,H.E.R.,Jazz,Smooth Jazz,106,84,60,74,25,25,55,-26,18,19,204065,1996,Japanese,Happy,Joyful,90s
S000058,Song_58,Philip Glass,Rock,Classic Rock,123,53,54,53,40,5,22,-45,86,56,101023,2021,Spanish,Neutral,Peaceful,2020s
S000059,Song_59,ODESZA,Pop,Electropop,150,63,67,91,62,12,55,-35,7,57,195787,1999,German,Neutral,Peaceful,90s
S000060,Song_60,Kanye West,Pop,J-Pop,102,67,76,63,50,40,46,-7,62,16,407428,1978,Korean,Neutral,Peaceful,70s
S000061,Song_61,Tool,Hip-Hop,Drill,87,85,74,68,15,22,66,-36,65,9,410285,1954,Italian,Happy,Joyful,50s-Early
S000062,Song_62,Ed Sheeran,R&B,Neo Soul,107,40,57,84,41,15,45,-36,85,58,398684,1982,Spanish,Romantic,Passionate,80s
S000063,Song_63,Taylor Swift,R&B,Contemporary R&B,75,60,45,68,37,21,24,-23,2,52,375718,2002,French,Neutral,Peaceful,2000s
S000064,Song_64,Anuel AA,R&B,Funk,111,49,49,84,28,21,97,-52,0,50,406076,1953,Korean,Romantic,Passionate,50s-Early
S000065,Song_65,J. Cole,R&B,Neo Soul,136,40,79,91,41,38,91,-22,25,33,151877,1952,Spanish,Romantic,Passionate,50s-Early
S000066,Song_66,Bach,Afro,Afrohouse,124,51,40,4,63,48,76,-44,46,22,134238,1963,Korean,Neutral,Peaceful,60s
S000067,Song_67,Lady Gaga,Electronic,Trance,111,80,93,81,38,67,49,-46,90,50,405557,1979,English,Euphoric,Ecstatic,70s
S000068,Song_68,Slayer,Hip-Hop,Mumble Rap,125,56,44,9,38,8,75,-44,73,16,372107,2018,English,Neutral,Peaceful,2010s
S000069,Song_69,Ennio Morricone,Country,Bluegrass,108,45,41,42,22,47,94,-10,22,54,301791,1965,Japanese,Neutral,Peaceful,60s
S000070,Song_70,Lucky Daye,Rock,Indie Rock,82,43,79,66,13,29,86,-34,92,31,118732,2000,English,Romantic,Passionate,2000s
S000071,Song_71,Imagine Dragons,Afro,Reggae,93,60,44,41,27,32,80,-39,20,69,220560,1954,English,Neutral,Peaceful,50s-Early
S000072,Song_72,Slipknot,Classical,Baroque,51,35,38,89,86,73,64,-34,72,25,374718,2005,Korean,Romantic,Passionate,2000s
S000073,Song_73,Camila Cabello,Hip-Hop,Drill,137,87,56,0,35,40,27,-12,98,51,201317,1963,Portuguese,Angry,Aggressive,60s
S000074,Song_74,Avicii,R&B,Contemporary R&B,102,62,53,25,33,6,33,-5,6,2,370174,1972,Hindi,Neutral,Peaceful,70s
S000075,Song_75,Yiruma,Latin,Bossa Nova,92,77,74,63,60,19,47,-51,38,56,140448,1993,Italian,Neutral,Peaceful,90s
S000076,Song_76,J. Cole,Jazz,Cool Jazz,99,56,52,67,29,29,29,-58,17,99,116069,1983,German,Neutral,Peaceful,80s
S000077,Song_77,J. Cole,Latin,Bachata,82,79,83,40,28,46,25,-9,25,63,165703,2008,Korean,Neutral,Peaceful,2000s
S000078,Song_78,Megadeth,Rock,Alternative Rock,144,76,72,20,62,26,89,-55,3,93,277210,2011,Japanese,Angry,Aggressive,2010s
S000079,Song_79,Justin Bieber,R&B,Contemporary R&B,136,69,70,2,33,13,50,-21,100,35,361255,1955,Italian,Neutral,Peaceful,50s-Early
S000080,Song_80,The Rolling Stones,Latin,Salsa,140,59,67,78,20,8,25,-7,93,50,350669,2006,German,Neutral,Peaceful,2000s
S000081,Song_81,Metallica,Jazz,Smooth Jazz,140,54,50,50,17,30,64,-17,4,69,394245,2017,French,Neutral,Peaceful,2010s
S000082,Song_82,Dua Lipa,R&B,Contemporary R&B,93,59,72,46,29,16,20,-35,13,63,132533,1986,Korean,Neutral,Peaceful,80s
S000083,Song_83,Bad Bunny,Pop,Latin Pop,85,75,52,32,52,7,25,-11,9,4,177958,1959,Korean,Neutral,Peaceful,50s-Early
S000084,Song_84,Chris Stapleton,Latin,Salsa,118,41,52,83,49,6,84,-24,72,16,337754,1964,Hindi,Romantic,Passionate,60s
S000085,Song_85,The Chemical Brothers,Afro,Dancehall,98,77,74,48,39,35,88,-17,49,77,419588,1958,English,Neutral,Peaceful,50s-Early
S000086,Song_86,Future,R&B,Contemporary R&B,108,51,74,39,44,5,83,-39,59,63,177388,2021,Italian,Neutral,Peaceful,2020s
S000087,Song_87,Muse,Classical,Baroque,50,50,18,34,97,89,56,-56,82,77,215501,1953,Arabic,Neutral,Peaceful,50s-Early
S000088,Song_88,Herbie Hancock,Country,Country Pop,116,64,57,38,49,12,33,-29,50,37,308134,2012,Portuguese,Neutral,Peaceful,2010s
S000089,Song_89,J. Cole,Country,Folk,89,72,64,65,26,37,97,-8,50,38,419650,2019,Italian,Neutral,Peaceful,2010s
S000090,Song_90,Ella Fitzgerald,Afro,Dancehall,80,42,46,41,60,12,83,-9,14,28,357552,1976,Italian,Neutral,Peaceful,70s
S000091,Song_91,Max Richter,Hip-Hop,Boom Bap,110,68,77,100,66,37,46,-6,32,67,371173,2015,French,Happy,Joyful,2010s
S000092,Song_92,Pantera,Country,Outlaw Country,84,44,49,12,42,42,50,-14,99,87,416579,2005,Spanish,Sad,Melancholic,2000s
S000093,Song_93,Nina Simone,Electronic,Techno,124,77,64,75,8,58,64,-59,26,94,322050,1985,Korean,Happy,Joyful,80s
S000094,Song_94,Coldplay,Rock,Indie Rock,110,65,82,19,36,9,30,-51,37,5,145318,1996,Hindi,Neutral,Peaceful,90s
S000095,Song_95,Bruno Mars,Latin,Bachata,120,82,51,61,35,17,79,-18,75,99,301951,2017,English,Energetic,Powerful,2010s
S000096,Song_96,Mr Eazi,Metal,Metalcore,124,84,27,30,9,32,28,-7,50,28,265399,1990,Korean,Energetic,Powerful,90s
S000097,Song_97,Green Day,Hip-Hop,Conscious Hip-Hop,85,62,40,20,55,41,55,-7,86,56,190158,2003,English,Neutral,Peaceful,2000s
S000098,Song_98,Daft Punk,Electronic,House,132,88,74,52,13,50,28,-51,51,56,103224,1984,English,Energetic,Powerful,80s
S000099,Song_99,Slayer,Electronic,House,129,94,85,6,6,40,53,-34,16,42,131914,2000,Hindi,Angry,Aggressive,2000s
S000100,Song_100,NCT,Rock,Classic Rock,128,63,64,87,16,10,52,-12,28,62,356901,1975,Korean,Neutral,Peaceful,70s
S000101,Song_101,Nirvana,Hip-Hop,Trap,102,89,60,80,58,11,68,-41,85,91,242638,2010,French,Euphoric,Ecstatic,2010s
S000102,Song_102,The Chemical Brothers,Hip-Hop,Boom Bap,123,46,40,93,41,17,70,-5,82,61,354223,1979,Japanese,Romantic,Passionate,70s
S000103,Song_103,Harry Styles,Classical,Romantic,68,58,33,39,99,75,38,-43,0,77,390402,1996,Spanish,Neutral,Peaceful,90s
S000104,Song_104,Bad Bunny,Classical,Romantic,105,37,34,0,75,63,27,-32,54,2,168623,1959,Arabic,Sad,Melancholic,50s-Early
S000105,Song_105,Slayer,Electronic,Synthwave,119,88,93,86,37,89,74,-33,31,49,306454,1957,Korean,Euphoric,Ecstatic,50s-Early
S000106,Song_106,TWICE,Jazz,Avant-Garde Jazz,139,42,63,53,32,12,86,-10,96,91,191358,1957,Japanese,Neutral,Peaceful,50s-Early
S000107,Song_107,H.E.R.,Afro,Highlife,108,74,71,31,33,18,65,-18,15,67,406915,1986,Arabic,Neutral,Peaceful,80s
S000108,Song_108,Herbie Hancock,Rock,Hard Rock,128,60,53,6,40,22,93,-54,32,22,274466,1968,Japanese,Neutral,Peaceful,60s
S000109,Song_109,Charlie Parker,R&B,Funk,110,68,57,46,11,5,88,-41,10,1,184914,1961,Arabic,Neutral,Peaceful,60s
S000110,Song_110,Eminem,Country,Americana,94,44,76,8,47,34,72,-17,98,85,346713,1979,Hindi,Sad,Melancholic,70s
S000111,Song_111,Zac Brown Band,Country,Bluegrass,133,85,62,80,41,21,33,-52,39,65,327804,1974,Japanese,Euphoric,Ecstatic,70s
S000112,Song_112,Imagine Dragons,Jazz,Smooth Jazz,147,61,82,25,55,8,77,-32,97,86,408277,1967,Spanish,Neutral,Peaceful,60s
S000113,Song_113,Mozart,Jazz,Bebop,159,81,75,33,50,42,36,-24,24,75,91622,1976,Portuguese,Energetic,Powerful,70s
S000114,Song_114,Shawn Mendes,Rock,Indie Rock,131,70,45,97,36,44,31,-16,52,70,314137,1994,German,Happy,Joyful,90s
S000115,Song_115,Radiohead,Jazz,Avant-Garde Jazz,91,65,60,53,37,6,84,-10,52,35,143276,1970,Italian,Neutral,Peaceful,70s
S000116,Song_116,Deadmau5,Electronic,House,120,77,70,53,39,65,74,-14,23,21,210900,2005,English,Neutral,Peaceful,2000s
S000117,Song_117,Burna Boy,Afro,Afrobeats,107,75,59,80,28,39,81,-16,97,72,253993,2015,French,Happy,Joyful,2010s
S000118,Song_118,Rauw Alejandro,Hip-Hop,Cloud Rap,147,48,79,88,26,5,80,-18,41,24,365494,1984,Spanish,Romantic,Passionate,80s
S000119,Song_119,Doja Cat,Afro,Highlife,77,89,76,50,53,48,31,-42,100,43,335690,1998,Hindi,Energetic,Powerful,90s
S000120,Song_120,Post Malone,Classical,Minimalist,100,26,14,61,94,71,99,-37,82,7,233326,1970,Hindi,Relaxed,Calm,70s
S000121,Song_121,The Weeknd,Afro,Afrobeats,155,62,76,69,63,20,91,-36,81,88,341147,1964,Italian,Neutral,Peaceful,60s
S000122,Song_122,Taylor Swift,Electronic,Ambient,136,78,85,9,36,76,35,-54,16,22,177833,1956,Portuguese,Angry,Aggressive,50s-Early
S000123,Song_123,The Rolling Stones,Country,Folk,88,54,46,58,18,12,58,-26,17,58,339321,1966,Japanese,Neutral,Peaceful,60s
S000124,Song_124,Taylor Swift,R&B,Contemporary R&B,88,70,63,59,44,48,64,-27,2,36,224055,2004,Portuguese,Neutral,Peaceful,2000s
S000125,Song_125,Dolly Parton,Latin,Bossa Nova,113,54,43,24,38,26,32,-43,32,15,344444,1991,Portuguese,Neutral,Peaceful,90s
S000126,Song_126,Cardi B,Rock,Progressive Rock,140,74,81,12,43,34,32,-43,31,95,129974,1995,Spanish,Angry,Aggressive,90s
S000127,Song_127,NCT,R&B,Neo Soul,103,88,68,56,62,48,35,-5,9,29,271144,1954,Hindi,Energetic,Powerful,50s-Early
S000128,Song_128,The Rolling Stones,Hip-Hop,Cloud Rap,139,69,42,29,54,18,87,-43,61,36,278847,2014,French,Neutral,Peaceful,2010s
S000129,Song_129,The Beatles,Rock,Alternative Rock,127,85,54,48,18,19,87,-49,58,36,397172,1992,Hindi,Energetic,Powerful,90s
S000130,Song_130,Ozuna,Jazz,Cool Jazz,144,78,63,97,20,17,44,-54,51,3,335596,2012,Arabic,Euphoric,Ecstatic,2010s
S000131,Song_131,Ghost,Metal,Death Metal,173,98,29,56,10,38,60,-12,2,5,163781,1996,German,Energetic,Powerful,90s
S000132,Song_132,Kendrick Lamar,Afro,Highlife,123,48,74,34,29,46,69,-43,61,16,249903,1962,French,Neutral,Peaceful,60s
S000133,Song_133,Rauw Alejandro,Hip-Hop,Cloud Rap,147,43,53,10,46,38,75,-58,91,28,417304,2016,Korean,Sad,Melancholic,2010s
S000134,Song_134,Ghost,Hip-Hop,Mumble Rap,99,73,51,78,51,13,59,-36,4,10,402250,1987,Korean,Happy,Joyful,80s
S000135,Song_135,Bruno Mars,Electronic,House,117,74,85,36,10,47,79,-13,76,27,176988,1989,Arabic,Neutral,Peaceful,80s
S000136,Song_136,Travis Scott,Classical,Film Score,84,41,33,55,88,62,59,-27,39,90,349820,1982,Portuguese,Neutral,Peaceful,80s
S000137,Song_137,Pantera,Rock,Punk Rock,80,63,58,91,25,44,78,-13,40,12,272828,2002,Hindi,Neutral,Peaceful,2000s
S000138,Song_138,Kendrick Lamar,Classical,Contemporary,81,45,31,4,75,66,64,-10,30,22,168249,1959,Italian,Neutral,Peaceful,50s-Early
S000139,Song_139,Jay-Z,Pop,Synthpop,106,82,69,81,48,35,21,-47,76,92,181659,1988,German,Euphoric,Ecstatic,80s
S000140,Song_140,Maluma,Country,Country Pop,140,71,52,16,55,31,79,-37,34,69,166242,1979,Arabic,Angry,Aggressive,70s
S000141,Song_141,Travis Scott,Metal,Death Metal,190,89,51,59,1,32,98,-31,36,92,293667,2017,Japanese,Energetic,Powerful,2010s
S000142,Song_142,Brent Faiyaz,Classical,Minimalist,103,26,16,9,91,76,84,-39,89,81,244893,2013,Arabic,Sad,Melancholic,2010s
S000143,Song_143,Khalid,Electronic,Techno,124,81,94,6,16,81,48,-50,32,5,121598,1981,Portuguese,Angry,Aggressive,80s
S000144,Song_144,Nirvana,Electronic,Drum & Bass,128,80,82,45,38,55,48,-57,80,98,303030,1964,Korean,Neutral,Peaceful,60s
S000145,Song_145,Kygo,Rock,Hard Rock,103,68,50,1,61,36,66,-47,83,21,374186,2016,Spanish,Neutral,Peaceful,2010s
S000146,Song_146,Dua Lipa,Classical,Contemporary,95,37,33,100,90,75,78,-41,5,18,284488,2018,Spanish,Romantic,Passionate,2010s
S000147,Song_147,Herbie Hancock,Afro,Afrohouse,77,40,77,60,24,38,54,-12,24,23,116385,1964,Spanish,Neutral,Peaceful,60s
S000148,Song_148,Summer Walker,Latin,Bachata,154,66,47,16,69,29,72,-53,78,26,333373,1999,Spanish,Neutral,Peaceful,90s
S000149,Song_149,Miles Davis,Classical,Baroque,110,12,33,59,81,83,22,-41,45,14,137837,2020,Hindi,Relaxed,Calm,2020s
S000150,Song_150,Martin Garrix,Rock,Punk Rock,91,83,59,37,45,13,67,-39,1,87,172503,1960,English,Energetic,Powerful,60s
S000151,Song_151,Jhené Aiko,Rock,Classic Rock,138,52,56,17,17,25,83,-43,94,37,247215,1960,Korean,Neutral,Peaceful,60s
S000152,Song_152,Bach,Rock,Progressive Rock,119,64,72,40,69,42,27,-50,85,50,398311,1990,Hindi,Neutral,Peaceful,90s
S000153,Song_153,Drake,Electronic,Dubstep,126,81,91,53,20,44,39,-28,73,39,112431,1951,Japanese,Energetic,Powerful,50s-Early
S000154,Song_154,Drake,Hip-Hop,Trap,107,80,52,76,39,37,45,-39,65,37,244470,1995,Portuguese,Euphoric,Ecstatic,90s
S000155,Song_155,Red Hot Chili Peppers,R&B,Neo Soul,89,73,81,48,64,48,94,-58,5,8,326293,2022,Spanish,Neutral,Peaceful,2020s
S000156,Song_156,Ariana Grande,Afro,Afrohouse,106,80,51,49,17,12,81,-41,61,6,319834,1953,Arabic,Neutral,Peaceful,50s-Early
S000157,Song_157,John Williams,Country,Bluegrass,80,61,65,59,12,45,33,-50,81,11,231398,1961,French,Neutral,Peaceful,60s
S000158,Song_158,DaBaby,R&B,Neo Soul,87,64,84,54,60,23,64,-53,92,52,160326,1981,Hindi,Neutral,Peaceful,80s
S000159,Song_159,Maluma,Latin,Latin Trap,125,83,57,82,15,22,41,-24,95,55,355064,2008,Spanish,Euphoric,Ecstatic,2000s
S000160,Song_160,Katy Perry,Hip-Hop,Drill,77,67,49,60,60,39,73,-46,96,6,149321,2010,Hindi,Neutral,Peaceful,2010s
S000161,Song_161,Linkin Park,Hip-Hop,Drill,98,59,76,19,13,32,79,-37,49,48,356847,1985,Korean,Neutral,Peaceful,80s
S000162,Song_162,Future,Afro,Dancehall,140,54,73,38,45,10,61,-10,57,11,339474,1967,Hindi,Neutral,Peaceful,60s
S000163,Song_163,Justice,Latin,Latin Trap,114,60,54,25,42,39,27,-25,93,86,287133,1951,German,Neutral,Peaceful,50s-Early
S000164,Song_164,Johnny Cash,Latin,Bossa Nova,111,44,77,61,54,45,79,-14,13,88,191459,1951,German,Romantic,Passionate,50s-Early
S000165,Song_165,Lil Baby,Pop,Synthpop,144,56,64,65,66,32,54,-24,4,64,242999,2005,English,Neutral,Peaceful,2000s
S000166,Song_166,Max Richter,Latin,Salsa,110,84,62,10,56,35,29,-58,13,79,292332,1959,Italian,Angry,Aggressive,50s-Early
S000167,Song_167,Lucky Daye,Latin,Bossa Nova,150,69,80,19,10,9,27,-18,75,0,303567,1977,Korean,Neutral,Peaceful,70s
S000168,Song_168,Disclosure,Classical,Contemporary,76,56,16,78,74,87,25,-17,60,19,287576,1986,Arabic,Neutral,Peaceful,80s
S000169,Song_169,Future,Metal,Black Metal,139,80,54,58,5,41,88,-28,50,77,209273,1969,Spanish,Neutral,Peaceful,60s
S000170,Song_170,Rauw Alejandro,Country,Outlaw Country,127,89,63,97,68,47,69,-32,56,38,210030,2005,Hindi,Euphoric,Ecstatic,2000s
S000171,Song_171,Charlie Parker,Metal,Black Metal,162,97,42,83,11,42,42,-16,51,79,91969,1957,Korean,Euphoric,Ecstatic,50s-Early
S000172,Song_172,Taylor Swift,Classical,Minimalist,40,17,33,85,75,64,66,-27,64,54,236649,1992,Arabic,Relaxed,Calm,90s
S000173,Song_173,Megadeth,R&B,Contemporary R&B,148,69,57,7,26,30,66,-21,75,90,263895,1995,Portuguese,Neutral,Peaceful,90s
S000174,Song_174,Snoop Dogg,Afro,Dancehall,142,72,40,79,28,35,33,-8,47,68,248056,2011,Japanese,Happy,Joyful,2010s
S000175,Song_175,The Killers,R&B,Contemporary R&B,140,89,45,40,18,37,67,-48,72,76,287096,2017,Arabic,Energetic,Powerful,2010s
S000176,Song_176,Slayer,Electronic,Techno,111,75,63,69,23,67,32,-20,22,82,107772,1950,Arabic,Happy,Joyful,50s-Early
S000177,Song_177,BLACKPINK,Pop,Dance-pop,128,46,64,64,30,19,95,-54,14,20,298786,2009,Hindi,Romantic,Passionate,2000s
S000178,Song_178,Luke Combs,Electronic,Dubstep,138,94,92,34,36,78,63,-23,89,10,326386,2021,English,Energetic,Powerful,2020s
S000179,Song_179,Hans Zimmer,Hip-Hop,Conscious Hip-Hop,152,49,41,2,55,13,45,-53,47,65,330069,1977,Japanese,Neutral,Peaceful,70s
S000180,Song_180,BLACKPINK,Hip-Hop,Trap,100,64,51,47,14,38,56,-46,43,99,302781,1992,Italian,Neutral,Peaceful,90s
S000181,Song_181,System Of A Down,Electronic,House,122,90,82,46,20,72,34,-36,35,74,389058,1964,Arabic,Energetic,Powerful,60s
S000182,Song_182,The Rolling Stones,Hip-Hop,Cloud Rap,142,60,52,33,31,23,97,-57,51,26,263724,1977,French,Neutral,Peaceful,70s
S000183,Song_183,Muse,R&B,Contemporary R&B,109,47,55,29,51,40,37,-59,48,76,321513,1956,Hindi,Neutral,Peaceful,50s-Early
S000184,Song_184,Charlie Parker,Electronic,Techno,121,79,72,62,11,60,75,-12,41,60,209735,1985,Arabic,Neutral,Peaceful,80s
S000185,Song_185,Tyler The Creator,R&B,Alternative R&B,158,43,46,43,63,5,64,-19,46,12,301830,1971,Japanese,Neutral,Peaceful,70s
S000186,Song_186,Calvin Harris,Afro,Dancehall,95,61,67,8,18,30,34,-51,87,41,292903,1998,German,Neutral,Peaceful,90s
S000187,Song_187,Frank Ocean,Rock,Alternative Rock,100,66,76,18,13,28,79,-22,73,88,417825,1968,Hindi,Neutral,Peaceful,60s
S000188,Song_188,Tyler The Creator,Country,Outlaw Country,110,49,72,46,64,9,68,-26,97,32,369158,1970,German,Neutral,Peaceful,70s
